"","logFC","AveExpr","t","P.Value","adj.P.Val","B","deltaBeta","CpG"
"cg21808707",-3.87958992908208,-3.99465946869579,-27.3641906408266,2.97455695728479e-09,1.46961145613408e-08,12.1404346170323,0.158751487122855,"cg21808707"
"cg24139216",-5.68458161169548,-5.86121610348801,-27.3497355364024,2.98715690476367e-09,1.47276679760908e-08,12.1364124188906,-0.301646101544182,"cg24139216"
"cg15243267",-5.69485750669952,-5.83062194135456,-27.3458002186463,2.99059753523447e-09,1.47369680543092e-08,12.1353169276621,-0.106829114127634,"cg15243267"
"cg06894812",-4.31328587216588,-4.46892470132912,-27.3450291875036,2.9912721653462e-09,1.47387010029917e-08,12.1351022687865,-0.125142023143896,"cg06894812"
"cg13022624",4.12650914147855,4.24518900449528,27.3389738145671,2.996576386386e-09,1.47503497532261e-08,12.1334161537171,0.147591688990101,"cg13022624"
"cg15255399",-4.04572720881895,-4.24982452040869,-27.3360371790942,2.99915254187267e-09,1.47589892155462e-08,12.1325982771721,0.107313306120057,"cg15255399"
"cg10454286",4.05839996988118,3.98835369650927,27.3330893481563,3.0017410192969e-09,1.47638960344908e-08,12.1317771695119,-0.107066879073283,"cg10454286"
"cg11366788",-3.85978425767053,-3.96544926044385,-27.3264849784165,3.00754939605483e-09,1.47795348514756e-08,12.1299371347749,-0.143100228327095,"cg11366788"
"cg16113692",-4.30616278556493,-4.47647586527435,-27.316942124936,3.01596439508895e-09,1.48013772018632e-08,12.1272774076663,-0.107502058193422,"cg16113692"
"cg07096051",3.8081409292087,3.90625387729002,27.3113750117063,3.02088574597697e-09,1.48114854784354e-08,12.1257252260631,0.105731154553667,"cg07096051"
"cg04246113",4.05934794726347,4.08864506047463,27.3102206581006,3.02190732735313e-09,1.48142598915385e-08,12.1254033270099,-0.118471682078808,"cg04246113"
"cg12805450",3.71804719428005,3.60486820919682,27.2951508012563,3.03527951044843e-09,1.48505614174375e-08,12.1211994016042,0.103632494934073,"cg12805450"
"cg01075497",-5.04117956297672,-5.10507704910333,-27.2943129185998,3.03602494963469e-09,1.48522709967193e-08,12.1209655766291,0.117746465971134,"cg01075497"
"cg20101978",-3.7973358241593,-3.78803476240437,-27.2897470756549,3.04009065687512e-09,1.48627343787944e-08,12.1196912415294,0.119089589594369,"cg20101978"
"cg14285308",3.72354021122189,3.70540670935459,27.289594448315,3.04022667117463e-09,1.48629885132585e-08,12.1196486382509,0.108639216484981,"cg14285308"
"cg00472445",-4.18608151351837,-4.22589291663851,-27.2870941318049,3.04245580841495e-09,1.48688666046029e-08,12.1189506748191,0.100906222573143,"cg00472445"
"cg12535596",-4.38150066365384,-4.55903107676428,-27.2813119473267,3.04761790018314e-09,1.48829203826019e-08,12.117336264563,0.108889348012467,"cg12535596"
"cg25392384",-5.26973857070016,-5.51473455241433,-27.2617136390708,3.06518772617838e-09,1.49257850309871e-08,12.111861078478,0.109840667701681,"cg25392384"
"cg12599336",-4.19238766444452,-4.26455939581884,-27.2564072710652,3.06996441106879e-09,1.49367387612709e-08,12.1103777710072,-0.105400554058987,"cg12599336"
"cg11937768",3.87056841916152,3.86415844499427,27.2533031021716,3.07276259469632e-09,1.49438028605409e-08,12.1095098807818,-0.102302931363992,"cg11937768"
"cg14937036",-4.7304934937324,-4.62883927204242,-27.25270332817,3.07330357753733e-09,1.49457949694777e-08,12.1093421762467,0.106253005649942,"cg14937036"
"cg14065008",3.39438875131725,3.35727820026537,27.2519272642863,3.07400372862609e-09,1.49477631755901e-08,12.1091251717899,-0.115296999248147,"cg14065008"
"cg20806712",4.37209327818718,4.48014365202959,27.251042500253,3.07480216551095e-09,1.49489294795516e-08,12.1088777627562,0.125053791431867,"cg20806712"
"cg21287554",4.4212905165109,4.36105576772297,27.242972958344,3.08209511009593e-09,1.49640838801893e-08,12.1066207803838,0.188612213776516,"cg21287554"
"cg09763095",4.23516569695663,4.16518909199011,27.2323758648376,3.09170187132373e-09,1.49862806375812e-08,12.103655565447,-0.105259121559818,"cg09763095"
"cg01921368",-3.60631269780515,-3.72125637601023,-27.2266953773898,3.09686533493017e-09,1.49990963790337e-08,12.1020654786409,-0.110550448954006,"cg01921368"
"cg16797421",-4.00578137467177,-3.89640692250393,-27.2012193762757,3.12014195136319e-09,1.50513393378679e-08,12.0949289995591,0.5149630473225,"cg16797421"
"cg18892517",-5.49756613536738,-5.51025637585192,-27.2008220847685,3.12050649598796e-09,1.50524599433746e-08,12.0948176404623,0.11180731620734,"cg18892517"
"cg17789012",-5.77182707274541,-5.92550187551513,-27.1918364150115,3.12876430250261e-09,1.507216429529e-08,12.092298441138,-0.119921974969809,"cg17789012"
"cg02944057",-4.1448594977538,-4.33381630744204,-27.1916677966593,3.12891949663078e-09,1.50724631393606e-08,12.0922511575693,-0.134332998268756,"cg02944057"
"cg19943610",-5.75027274141709,-5.95267416855158,-27.1876953780899,3.13257815985291e-09,1.50800015652002e-08,12.0911371128272,0.136041138914787,"cg19943610"
"cg17398057",4.90674770507719,5.10830543588595,27.1865425145929,3.13364086516317e-09,1.50827242297431e-08,12.090813759169,-0.154416644258098,"cg17398057"
"cg12803069",3.64845941714276,3.8690473159325,27.1807202874753,3.13901395934855e-09,1.50975683655552e-08,12.0891804809803,0.116395492647123,"cg12803069"
"cg12140867",4.29435205130016,4.34362707158498,27.1765744765632,3.14284626213419e-09,1.51070925720403e-08,12.0880172065934,0.111261688938109,"cg12140867"
"cg24576225",-3.96300720664749,-3.95582154642625,-27.1765520239813,3.14286703113584e-09,1.51070925720403e-08,12.0880109059997,0.171446433639636,"cg24576225"
"cg09849846",-4.85543166861054,-4.92283892067612,-27.1720516247652,3.14703308544884e-09,1.51169661834739e-08,12.0867478798008,-0.11628451967639,"cg09849846"
"cg21787063",4.11196906919747,4.0985630275566,27.1719292187373,3.14714648422239e-09,1.51173513380738e-08,12.086713523114,-0.109156680595941,"cg21787063"
"cg03396152",3.45188749299083,3.40563640531435,27.1428502310581,3.17421613627702e-09,1.51871086681266e-08,12.0785460876955,-0.121015536670591,"cg03396152"
"cg00172020",-3.7238479368315,-3.75566043274023,-27.1376680887737,3.17906758547493e-09,1.51986561799527e-08,12.0770894036865,-0.107794050647562,"cg00172020"
"cg23016472",-4.86297355887607,-4.96498677696659,-27.1364922358943,3.18016956080149e-09,1.52020081819167e-08,12.0767588257203,0.106642154518596,"cg23016472"
"cg03976172",4.03650777151848,4.13620819587008,27.1360690158284,3.18056629535217e-09,1.52033851944817e-08,12.0766398376312,0.151605917925082,"cg03976172"
"cg05633190",-4.27204097663675,-4.2262763689324,-27.132061618628,3.18432566086169e-09,1.5211809167209e-08,12.0755130427667,0.133158552426257,"cg05633190"
"cg03640766",-4.41172457233883,-4.35260927659024,-27.1317507027544,3.18461754152969e-09,1.52126155823821e-08,12.0754256109612,0.133060686043481,"cg03640766"
"cg03257107",4.20168136661983,4.20771162418125,27.1316556723492,3.1847067598801e-09,1.52126155823821e-08,12.0753988874649,0.14594141643943,"cg03257107"
"cg10210354",4.14316698865806,4.29212040433361,27.1219409540527,3.19384214876407e-09,1.52343359025397e-08,12.0726663818425,0.111578661137207,"cg10210354"
"cg27608911",3.48232323428312,3.48249515044143,27.1219202967618,3.1938616054907e-09,1.52343359025397e-08,12.0726605701368,0.224737147274028,"cg27608911"
"cg09065504",-3.70401920200062,-3.6576579323565,-27.1087490386824,3.20629450716616e-09,1.52664381406013e-08,12.0689538292348,-0.112122068636267,"cg09065504"
"cg04508476",4.40997197373313,4.45126168710666,27.1086310464948,3.20640613019026e-09,1.52668098956232e-08,12.0689206127295,-0.114748610080779,"cg04508476"
"cg20887061",-5.54858778933218,-5.78131304555537,-27.1084921108231,3.20653757177149e-09,1.52672312655795e-08,12.0688815000946,-0.100113941305966,"cg20887061"
"cg02527529",-5.79380099390621,-5.94921001631521,-27.1081344750721,3.20687594473209e-09,1.52677249204914e-08,12.0687808186803,0.134384025007001,"cg02527529"
"cg03963476",-3.81635073700986,-3.8931791511456,-27.1081143391175,3.20689499732622e-09,1.52677249204914e-08,12.0687751499674,0.176057110963401,"cg03963476"
"cg20659485",3.36320776079153,3.25518883429609,27.1080729027575,3.20693420471525e-09,1.52677249204914e-08,12.0687634847063,0.102799943624087,"cg20659485"
"cg02167986",3.74688674318901,3.83936078419875,27.1080132992482,3.2069906029383e-09,1.52677249204914e-08,12.0687467049468,0.150756952030447,"cg02167986"
"cg20609972",3.71725574731332,3.7177806551002,27.1080024322857,3.20700088563029e-09,1.52677249204914e-08,12.0687436456417,0.101418574205714,"cg20609972"
"cg27395288",-3.50162681949561,-3.32152981506201,-27.1065478676582,3.20837757857397e-09,1.52713686339567e-08,12.0683341374343,0.262037982768326,"cg27395288"
"cg04923144",-4.42476102220222,-4.57120123824304,-27.1064976675457,3.20842510301113e-09,1.52713686339567e-08,12.0683200039368,0.232535085592964,"cg04923144"
"cg14693521",4.25544702052582,4.14556655547459,27.1048181474729,3.2100155599435e-09,1.52750921050494e-08,12.0678471273355,0.116817550419161,"cg14693521"
"cg15728744",4.71561421610446,4.76534856819654,27.1001182279094,3.21447095358076e-09,1.52873079259392e-08,12.0665236447926,0.120789798228836,"cg15728744"
"cg04784251",3.8361111754063,3.74567813354616,27.0967717010238,3.21764759970096e-09,1.52948381252553e-08,12.065581094986,0.206247339295023,"cg04784251"
"cg01895989",3.9730807501776,3.99782481085609,27.0960735427194,3.21831076138028e-09,1.52966331470576e-08,12.0653844398835,-0.146712784264942,"cg01895989"
"cg09234859",-4.13506111980779,-4.16606448463158,-27.0879368928839,3.22605086961276e-09,1.53137225778884e-08,12.0630920567447,-0.12624571439431,"cg09234859"
"cg13791589",-5.28116727148435,-5.4787692101622,-27.0858716789882,3.22801875842201e-09,1.53166347576534e-08,12.0625100729983,-0.116943771850363,"cg13791589"
"cg26187005",-4.14891819227936,-4.26853198117832,-27.0596497961918,3.25312244356625e-09,1.53780813475008e-08,12.055115743099,0.162572895114242,"cg26187005"
"cg07376067",3.49269785299086,3.31668665211016,27.059584784402,3.25318495474942e-09,1.53780813475008e-08,12.0550973990263,0.201212569064346,"cg07376067"
"cg23023953",4.17398908660762,4.21559976346924,27.0595429098264,3.25322521937976e-09,1.53780813475008e-08,12.0550855834434,0.256285260754603,"cg23023953"
"cg26353176",4.12329654588287,4.17842003816175,27.0579333619509,3.2547733093199e-09,1.53821268296286e-08,12.0546314060462,0.111220600805132,"cg26353176"
"cg22782712",4.47271115030734,4.61276197771146,27.0471688067291,3.26514812298039e-09,1.54101042013033e-08,12.0515930109799,0.219573140416363,"cg22782712"
"cg11249189",-3.98225297518074,-4.18081132879287,-27.037953886305,3.27405890611738e-09,1.54321557498484e-08,12.0489907906315,0.149387391240201,"cg11249189"
"cg08935299",-4.34611139267443,-4.45231990348025,-27.0378919118848,3.27411892742236e-09,1.54322362788666e-08,12.0489732857234,0.104669070219992,"cg08935299"
"cg05661042",5.13324440319042,5.19297817480507,27.0368898752529,3.27508955646969e-09,1.54343023576997e-08,12.048690249614,0.125616060540813,"cg05661042"
"cg00160440",3.84889361744962,3.91924273540288,27.0368885220832,3.27509086744436e-09,1.54343023576997e-08,12.0486898673876,0.16210430146803,"cg00160440"
"cg17918201",-3.95269928687221,-3.99581097707883,-27.0367894126279,3.27518688803423e-09,1.54345391252382e-08,12.0486618721196,0.106050904424584,"cg17918201"
"cg27394046",-4.51305876118809,-4.35983159509288,-27.030030445102,3.28174266695524e-09,1.5450488512708e-08,12.0467523703869,0.128830008627068,"cg27394046"
"cg01583969",-4.01898276827313,-3.82195196799433,-27.0276337988937,3.28407080172509e-09,1.54564546392228e-08,12.0460751386696,0.171446412921785,"cg01583969"
"cg12192691",-4.0291081238801,-4.06800810701951,-27.0037579416301,3.30736565031638e-09,1.55123229671986e-08,12.0393242460714,-0.118693572454361,"cg12192691"
"cg09268874",3.51741568044292,3.41317539203408,26.9990023047261,3.31202768062983e-09,1.55242478437712e-08,12.0379786833841,-0.107856783726503,"cg09268874"
"cg05501817",-3.43446376345476,-3.5037986476604,-26.9765440512186,3.33414379468572e-09,1.5575822813214e-08,12.0316202535743,0.100282486179466,"cg05501817"
"cg16531833",-4.95834119304548,-5.03982165324565,-26.9729158180778,3.33773228511909e-09,1.55851616503072e-08,12.030592388243,0.106964760058124,"cg16531833"
"cg09658429",-4.95348542203255,-4.93481411838618,-26.9651896534239,3.34538827499058e-09,1.56036706744878e-08,12.0284030074651,0.186781289329344,"cg09658429"
"cg13338783",-4.74156254102694,-4.90431756779819,-26.9584013523799,3.352131191571e-09,1.56205682106097e-08,12.0264787324931,0.109941617638869,"cg13338783"
"cg24370974",4.18762738237414,4.43767940971837,26.9470049615485,3.3634857245889e-09,1.56508832949029e-08,12.0232468191602,0.112315565860392,"cg24370974"
"cg24529230",-5.84926680969474,-6.00641309116996,-26.9302377925195,3.38026988358644e-09,1.56914452491034e-08,12.0184886402089,0.106484964072875,"cg24529230"
"cg27179169",-4.88412560253057,-4.95863652917208,-26.9269195822827,3.38360258880907e-09,1.5699704888354e-08,12.0175465536231,0.190565565695544,"cg27179169"
"cg27133713",-4.25278848420952,-4.15029099407754,-26.9063335531412,3.40436115569468e-09,1.57496724382084e-08,12.0116985902574,0.132328135437007,"cg27133713"
"cg05404227",-4.06942042869418,-4.09727394296257,-26.8913088804071,3.41960200821527e-09,1.57840244057807e-08,12.0074268745841,0.150649386516365,"cg05404227"
"cg23900070",3.90677386422871,4.02834569886646,26.8907844383508,3.42013537781809e-09,1.57858458870563e-08,12.0072777139056,0.103994118157259,"cg23900070"
"cg15844287",3.98758043924647,4.10705886378625,26.8737323416186,3.43752873977505e-09,1.5830003156486e-08,12.0024257784859,0.182225143396016,"cg15844287"
"cg04614440",-3.43269066803835,-3.56774340439231,-26.8576387395996,3.45403555147819e-09,1.58751375714208e-08,11.9978429805552,0.154048846604378,"cg04614440"
"cg19488093",-3.81793081756354,-3.80240563818067,-26.8329860894496,3.47949399816697e-09,1.59366589079616e-08,11.9908161497845,0.112746835324739,"cg19488093"
"cg00123762",-4.07291961832715,-4.05733333526699,-26.8264133259437,3.48631711820043e-09,1.59550640485092e-08,11.9889413080093,0.152002588010496,"cg00123762"
"cg02093811",-4.18287659152811,-4.24053096471085,-26.8263069625455,3.48642765640398e-09,1.59551806150099e-08,11.988910963687,0.100547406106223,"cg02093811"
"cg10551856",3.96131314121153,4.0690069939236,26.8247027940263,3.4880952663851e-09,1.59571939694653e-08,11.9884532933086,0.154228812158931,"cg10551856"
"cg24317742",4.300374499207,4.39281112781011,26.8165584040441,3.49657557459163e-09,1.59772688677478e-08,11.9861291572203,0.114347498135962,"cg24317742"
"cg04198824",-4.67349636016673,-4.80579248969794,-26.8107553531184,3.50263209485413e-09,1.5991777242308e-08,11.9844726142254,0.114122636916932,"cg04198824"
"cg26294458",4.6706474430763,4.59250877937106,26.7839046187308,3.53080937091443e-09,1.60633772244538e-08,11.9768018575076,-0.108983456117976,"cg26294458"
"cg26441291",4.37842828699787,4.49282425748458,26.7782974215734,3.5367256516152e-09,1.60774576654774e-08,11.9751987538708,-0.107126443831793,"cg26441291"
"cg25018881",3.93885730365302,3.95805315352343,26.7578171983659,3.55842954543629e-09,1.61314645651809e-08,11.9693398168705,-0.123694361325345,"cg25018881"
"cg00247361",3.84420962870755,3.74624007268886,26.7518056063496,3.56482867821021e-09,1.61484095617856e-08,11.967618954244,-0.108810603662467,"cg00247361"
"cg02271180",-5.52826198873542,-5.70251705370314,-26.7464118107375,3.57058118426857e-09,1.61637041908425e-08,11.9660745230425,0.137279517421542,"cg02271180"
"cg04705429",4.08631821648055,4.1357730814267,26.7353743559308,3.58238518498012e-09,1.61924466275074e-08,11.9629128849776,0.11144067134661,"cg04705429"
"cg03430526",4.28803727443833,4.36807556516382,26.72822462092,3.59005484201236e-09,1.62104558609718e-08,11.9608639867332,0.108138498207112,"cg03430526"
"cg23644795",-4.09548177892363,-4.14013999510437,-26.725577596357,3.59289902967553e-09,1.62160060644852e-08,11.9601052531892,0.116573702677832,"cg23644795"
"cg15489346",3.45780378885709,3.30648799179671,26.7241125297356,3.5944743088492e-09,1.62203811908951e-08,11.9596852708479,-0.123204547290054,"cg15489346"
"cg17165156",-3.86804367966054,-3.95463927871412,-26.7202432920523,3.59863834657342e-09,1.62309638350797e-08,11.958575958117,0.131459393431512,"cg17165156"
"cg13647523",-3.99306420112291,-3.99218019707576,-26.7084139800193,3.61140256475527e-09,1.62619420366446e-08,11.9551832245062,0.102343524336297,"cg13647523"
"cg13253694",-5.26720997494884,-5.50411552757882,-26.7067117900986,3.61324346313755e-09,1.6266046974869e-08,11.9546948672315,-0.149855872158675,"cg13253694"
"cg19687358",-3.58450843698986,-3.54590151862589,-26.7063390811656,3.61364668402604e-09,1.62666107711609e-08,11.9545879319978,0.153448479958557,"cg19687358"
"cg05157912",-4.09614165367167,-3.96113715494134,-26.7054681209661,3.61458914265711e-09,1.62687254409291e-08,11.954338034365,0.105996655769906,"cg05157912"
"cg00866484",-5.31791407202223,-5.4498723921865,-26.6957991027993,3.62507046026672e-09,1.62943064692332e-08,11.9515630866821,-0.106310116992804,"cg00866484"
"cg02002523",3.97069046139063,3.92259587606658,26.6920993766559,3.62909002377411e-09,1.63044832594211e-08,11.9505009516274,-0.132202745878163,"cg02002523"
"cg11038507",3.79699227221245,3.83083011926165,26.6878929900587,3.63366612700106e-09,1.63137689852916e-08,11.9492931355129,-0.117524952456589,"cg11038507"
"cg03291996",3.38922491563319,3.27405799796258,26.6736743340509,3.64918253927148e-09,1.63575196199515e-08,11.9452086243734,-0.113773697588856,"cg03291996"
"cg05230816",4.15584173438758,4.20220316976534,26.6708048484883,3.65232293837694e-09,1.63642740810285e-08,11.9443839894618,0.105684066239828,"cg05230816"
"cg04323312",-4.75975165865225,-4.70865142140417,-26.6665435664586,3.65699213539545e-09,1.63763280181282e-08,11.9431591717249,-0.136099437849601,"cg04323312"
"cg02216246",-4.02548837248182,-4.09272396032763,-26.6651572536324,3.65851259849574e-09,1.63791076019676e-08,11.9427606512341,-0.110132795039597,"cg02216246"
"cg11257240",-5.3176989312163,-5.40262205562872,-26.6371472788758,3.68938555960316e-09,1.64642009667471e-08,11.9347030583948,-0.116501383993399,"cg11257240"
"cg20826201",-3.99213037674799,-4.17974835764065,-26.6369308256998,3.68962527308072e-09,1.64649478065341e-08,11.9346407498394,0.202724446822213,"cg20826201"
"cg21526778",3.44583157916441,3.45783226749417,26.6368678340561,3.68969503716147e-09,1.64650661131566e-08,11.9346226168443,0.160216026733763,"cg21526778"
"cg27255317",-4.50022220241701,-4.58030532513639,-26.6368022847555,3.68976763545343e-09,1.64650661131566e-08,11.9346037475356,0.122318561446401,"cg27255317"
"cg08800710",3.94971094526064,3.99677629126377,26.6367428102145,3.68983350711034e-09,1.64650661131566e-08,11.9345866268828,0.113776139068017,"cg08800710"
"cg25595084",4.01286878166139,4.1727612404143,26.6366248490952,3.68996416010114e-09,1.6465329927423e-08,11.9345526698344,0.300865999886603,"cg25595084"
"cg17308545",3.70164710076109,3.55027276298675,26.632328035858,3.69472682497354e-09,1.64759518273535e-08,11.933315631733,-0.13450096463339,"cg17308545"
"cg02486513",4.10118765174206,4.06407953938515,26.6265445252786,3.70114827043637e-09,1.64919974892246e-08,11.9316501796438,-0.15027031497343,"cg02486513"
"cg22902802",5.06780553490658,5.28246353614789,26.6214510448729,3.70681395021167e-09,1.6505352737996e-08,11.9301830533828,0.109785576135434,"cg22902802"
"cg24965356",3.85001721753499,3.93740605865492,26.6105746736784,3.71894478847555e-09,1.65336933580528e-08,11.9270490338558,-0.123435977242289,"cg24965356"
"cg10629682",-5.65609136795705,-5.7665143356587,-26.6040493901328,3.7262440751288e-09,1.65500382829696e-08,11.9251679996603,0.118172540821158,"cg10629682"
"cg24913324",-5.38088284903787,-5.55684043599579,-26.6001093805754,3.73065921908396e-09,1.65603745495732e-08,11.9240319361216,-0.137772918803251,"cg24913324"
"cg04407147",3.25719402819241,3.25529131709134,26.597784161032,3.73326759725644e-09,1.65661360801471e-08,11.9233613817484,0.104980923006747,"cg04407147"
"cg21045000",-4.10762294573812,-3.95976652697475,-26.5904250541436,3.74153637735922e-09,1.65888561125926e-08,11.9212386498377,0.136228150778497,"cg21045000"
"cg07068375",-4.29764554278891,-4.36466234566922,-26.580103105309,3.75316890449167e-09,1.6617335934759e-08,11.918260035032,0.116938144727173,"cg07068375"
"cg21994576",-4.47108928256757,-4.54506285040323,-26.5671541600017,3.76781942905847e-09,1.66507516160756e-08,11.9145212764272,-0.111212838287071,"cg21994576"
"cg00623826",4.60050724029306,4.61398696859432,26.5645265316586,3.77080017430645e-09,1.66583884537427e-08,11.9137623181639,0.115737195116168,"cg00623826"
"cg14605001",3.43023639629198,3.40095538768345,26.5637247931576,3.77171018234646e-09,1.66602109315315e-08,11.9135307269222,0.12497736244147,"cg14605001"
"cg18094961",4.30101201805338,4.39060934252852,26.5585738371178,3.77756262443878e-09,1.6674208669259e-08,11.9120426041968,0.128690296243711,"cg18094961"
"cg05557780",4.2361865549462,4.14682772265776,26.5557815652427,3.78073942380965e-09,1.66816366539629e-08,11.911235758115,0.159259534758404,"cg05557780"
"cg24425978",-3.58021998949606,-3.66950277721798,-26.5437721330268,3.79443692038603e-09,1.671695222636e-08,11.9077643277313,0.103003643387442,"cg24425978"
"cg25418893",3.98286812858705,4.1598825515033,26.5415719504093,3.79695239700654e-09,1.67236633463531e-08,11.9071281307646,0.129392881442763,"cg25418893"
"cg26718510",-5.82328063939067,-6.03752100653726,-26.5250496978847,3.8159022692968e-09,1.67715805384587e-08,11.9023484850165,-0.142032910687614,"cg26718510"
"cg24195971",3.47186612518358,3.53642166027889,26.5241101990548,3.81698299470369e-09,1.6773485869859e-08,11.9020765887433,0.142135032356806,"cg24195971"
"cg01783386",-4.25098621734706,-4.32867580232339,-26.5240961171005,3.81699919608747e-09,1.6773485869859e-08,11.9020725132535,0.257421990758151,"cg01783386"
"cg25462303",-4.39395047029046,-4.54626656683246,-26.5236996721972,3.81745534030908e-09,1.67739099712914e-08,11.9019577761299,0.186053676802382,"cg25462303"
"cg26782322",3.88476143438488,3.77810818396795,26.5236886439065,3.81746803018802e-09,1.67739099712914e-08,11.9019545843456,0.169927322613163,"cg26782322"
"cg06436504",5.03063684597068,5.06697619417096,26.5229658627074,3.81829981318797e-09,1.67751518195354e-08,11.9017453948995,-0.111038961279781,"cg06436504"
"cg22966109",-4.47020948754814,-4.48808747225341,-26.5226731074682,3.81863677639552e-09,1.67763449686271e-08,11.9016606627738,-0.118612043687173,"cg22966109"
"cg25870420",-5.48835919624408,-5.50674215946056,-26.5126924328773,3.83014459063648e-09,1.6807723562924e-08,11.8987712500116,0.113803142689735,"cg25870420"
"cg18891308",-6.15971422401231,-6.2331207399521,-26.5105801426691,3.83258506983585e-09,1.68137273364106e-08,11.89815956426,0.104328116750658,"cg18891308"
"cg11688696",-4.06061180754628,-3.97948999514389,-26.5076245727613,3.83600278056628e-09,1.68220723990916e-08,11.8973035747484,0.119280342168022,"cg11688696"
"cg26987855",-4.84648612663142,-4.93145811639487,-26.4941564970152,3.8516201373482e-09,1.68605029951716e-08,11.8934014361125,0.125900749679898,"cg26987855"
"cg15515537",-3.94813630357234,-4.03609742189947,-26.4940987897405,3.85168720712516e-09,1.68606344145613e-08,11.8933847110532,0.102414309646828,"cg15515537"
"cg08188368",3.67630637031097,3.58155687814414,26.4910435603721,3.85523999362833e-09,1.68691979806984e-08,11.89249916095,-0.10041184755262,"cg08188368"
"cg00612138",-4.17747009391619,-4.42147972370495,-26.474235693746,3.87485099851359e-09,1.6917284457569e-08,11.8876251385713,0.128997009253815,"cg00612138"
"cg18110590",4.87369954781798,5.07305603709387,26.4710132512691,3.87862364386009e-09,1.69282339790462e-08,11.886690233641,-0.105569818149358,"cg18110590"
"cg13331936",-3.70813992271299,-3.9484034707517,-26.4708906002794,3.87876731782724e-09,1.69286817624403e-08,11.8866546469204,-0.13531036201837,"cg13331936"
"cg04276484",-4.56220566693307,-4.78077641361147,-26.4708621578356,3.87880063629774e-09,1.69286817624403e-08,11.8866463944232,-0.15897006526623,"cg04276484"
"cg22821834",-3.41700347997421,-3.67948224827874,-26.4679604098124,3.88220153408893e-09,1.69363625176717e-08,11.8858044013604,-0.170213633028002,"cg22821834"
"cg03505562",-3.58164601118253,-3.48883369968234,-26.4667886239391,3.88357583561399e-09,1.69390045271464e-08,11.8854643541205,-0.164662426430113,"cg03505562"
"cg26558919",-4.76987196195565,-4.92182377777126,-26.4654973204204,3.88509094313976e-09,1.69429801241514e-08,11.8850896013638,-0.102440574123152,"cg26558919"
"cg00396407",-5.34040346046963,-5.54980772994521,-26.436012872583,3.9198667123537e-09,1.70283826284861e-08,11.8765265549647,0.111053635842993,"cg00396407"
"cg25614468",3.35972390225417,3.45280324834023,26.4331130772814,3.92330573928606e-09,1.70350292296122e-08,11.8756837286095,-0.110404491917281,"cg25614468"
"cg20270932",-4.43870444091894,-4.53576206469495,-26.4325623648786,3.92395924205907e-09,1.70366125045857e-08,11.8755236507093,0.147540340649312,"cg20270932"
"cg17495092",-5.37925453641046,-5.5856305592838,-26.4264799229287,3.93118510394768e-09,1.70534688169559e-08,11.8737553617437,-0.112088430145411,"cg17495092"
"cg08383938",3.73965341204191,3.71154763257389,26.4127979296224,3.94749378616598e-09,1.70927438864356e-08,11.8697758526778,-0.105446617492304,"cg08383938"
"cg20708892",-4.90527299035377,-4.87828948186792,-26.3962596495526,3.9673085804404e-09,1.71374701499677e-08,11.8649620999163,0.169744466354049,"cg20708892"
"cg14499797",-4.63429258549312,-4.7785832172774,-26.3914721016188,3.97306544301933e-09,1.71511051568206e-08,11.8635678914477,0.310747946739928,"cg14499797"
"cg26329349",-4.35824313299158,-4.44519530156981,-26.3822028419081,3.98423808319968e-09,1.71814274031577e-08,11.8608676323452,-0.230672092776938,"cg26329349"
"cg01733028",-3.82946740575254,-3.65477545486813,-26.3814217125961,3.98518122227304e-09,1.71836845807498e-08,11.8606400243158,-0.108822252519201,"cg01733028"
"ch.16.82416228R",-5.16718777794452,-5.10819962021233,-26.379562918906,3.98742654609733e-09,1.718930362618e-08,11.860098368736,-0.163988902218344,"ch.16.82416228R"
"cg21678388",-4.09068478900812,-4.06000390179463,-26.3793510378189,3.98768257731828e-09,1.71899236680773e-08,11.8600366231798,-0.12111977525894,"cg21678388"
"ch.16.8889012F",-4.32243891134143,-4.38458681625405,-26.3786886294701,3.98848313220532e-09,1.71923837598718e-08,11.8598435827026,0.102026604092018,"ch.16.8889012F"
"cg12246564",-4.8000142828108,-5.00880204168597,-26.3774543363515,3.98997532084908e-09,1.71960469955594e-08,11.8594838660268,0.251439590338972,"cg12246564"
"cg04605388",-4.50325706088612,-4.76228187182916,-26.3765604711113,3.99105634321128e-09,1.71977744497804e-08,11.859223348832,0.115666130288873,"cg04605388"
"cg13155902",-3.78571162691084,-3.81491284691027,-26.3732348012303,3.99508122849343e-09,1.7207134682965e-08,11.8582539839938,0.10548213489842,"cg13155902"
"cg20677521",3.65360843962797,3.58734581785838,26.3661906479611,4.00362145572893e-09,1.72272880525767e-08,11.8562002484132,-0.147977687389002,"cg20677521"
"cg18843944",4.61538343488173,4.93951848689838,26.3644830503429,4.00569480656291e-09,1.72319734265861e-08,11.8557022911285,0.15381850700813,"cg18843944"
"cg00110790",3.78212250073618,3.98337494496925,26.3620965519172,4.00859449271439e-09,1.72398845674201e-08,11.855006289602,0.118162703968826,"cg00110790"
"cg01678802",3.39927268841223,3.36941913320026,26.3612249751313,4.00965407891718e-09,1.72421604004529e-08,11.8547520820146,0.113976520962438,"cg01678802"
